Sr. No.,Type of Measurement,Description (English),Description (Hindi),Description (Kannada),Photo (from PDF),Measurement (Inches)
11,"Upper Bust
ऊपरी वक्ष (अपर बस्ट)
ಮೇಲಿನ ಎದೆ (ಅಪ್ಪರ್ ಬಸ್ಟ್)","EN: The circumference of the torso just above the fullest part of the bust, taken high under the armpits. It represents the chest girth above the bust, used to set the upper fit of the blouse.","हिन्दी · ऊपरी वक्ष (अपर बस्ट): वक्ष के सबसे भरे हिस्से से ठीक ऊपर धड़ का घेरा, बगलों के नीचे से ऊँचाई पर लिया गया। यह वक्ष के ऊपर की छाती के घेरे को दर्शाता है, जिसका उपयोग ब्लाउज की ऊपरी फिटिंग तय करने में होता है।","ಕನ್ನಡ · ಮೇಲಿನ ಎದೆ (ಅಪ್ಪರ್ ಬಸ್ಟ್): ಎದೆಯ ಅತಿ ತುಂಬಿದ ಭಾಗದ ಮೇಲ್ಭಾಗದಲ್ಲಿ, ಕಂಕುಳುಗಳ ಕೆಳಗೆ ಎತ್ತರದಲ್ಲಿ ತೆಗೆದ ಮುಂಡದ ಸುತ್ತಳತೆ. ಇದು ಎದೆಯ ಮೇಲ್ಭಾಗದ ಎದೆ ಸುತ್ತಳತೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ, ರವಿಕೆಯ ಮೇಲಿನ ಫಿಟ್ ಅನ್ನು ನಿಗದಿಪಡಿಸಲು ಬಳಸಲಾಗುತ್ತದೆ.",,
12,"Apex to Apex
एपेक्स से एपेक्स (उभार बिंदुओं के बीच)
ಎಪೆಕ್ಸ್‌ನಿಂದ ಎಪೆಕ್ಸ್‌ವರೆಗೆ",EN: The horizontal straight-line distance between the two bust apex points (left bust point to right bust point). It represents how far apart the two bust cups/darts sit.,हिन्दी · एपेक्स से एपेक्स (उभार बिंदुओं के बीच): दोनों वक्ष एपेक्स बिंदुओं के बीच की क्षैतिज सीधी-रेखा दूरी (बाएँ बस्ट पॉइंट से दाएँ बस्ट पॉइंट तक)। यह दर्शाता है कि दोनों बस्ट कप/डार्ट कितनी दूरी पर होते हैं।,ಕನ್ನಡ · ಎಪೆಕ್ಸ್‌ನಿಂದ ಎಪೆಕ್ಸ್‌ವರೆಗೆ: ಎರಡು ಎದೆ ಎಪೆಕ್ಸ್ ಬಿಂದುಗಳ ನಡುವಿನ ಅಡ್ಡ ನೇರ-ರೇಖೆಯ ಅಂತರ (ಎಡ ಬಸ್ಟ್ ಪಾಯಿಂಟ್‌ನಿಂದ ಬಲ ಬಸ್ಟ್ ಪಾಯಿಂಟ್‌ವರೆಗೆ). ಇದು ಎರಡು ಎದೆ ಕಪ್/ಡಾರ್ಟ್‌ಗಳು ಎಷ್ಟು ಅಂತರದಲ್ಲಿ ಇರುತ್ತವೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.,,
13,"Bust Centreline
वक्ष पूरा घेरा (बस्ट राउंड)
ಎದೆಯ ಪೂರ್ಣ ಸುತ್ತಳತೆ (ಬಸ್ಟ್ ರೌಂಡ್)","EN: The bust full round — the complete circumference around the fullest part of the bust, going all the way around the body so it covers the entire bust at the front and the back at that same level. It represents the total bust girth at its fullest point.","हिन्दी · वक्ष पूरा घेरा (बस्ट राउंड): वक्ष का पूरा घेरा — वक्ष के सबसे भरे हिस्से के चारों ओर का पूरा घेरा, जो पूरे शरीर के चारों ओर घूमता है ताकि सामने का पूरा वक्ष और उसी स्तर पर पीठ दोनों शामिल हों। यह सबसे भरे बिंदु पर कुल वक्ष घेरे को दर्शाता है।","ಕನ್ನಡ · ಎದೆಯ ಪೂರ್ಣ ಸುತ್ತಳತೆ (ಬಸ್ಟ್ ರೌಂಡ್): ಎದೆಯ ಪೂರ್ಣ ಸುತ್ತಳತೆ — ಎದೆಯ ಅತಿ ತುಂಬಿದ ಭಾಗದ ಸುತ್ತಲಿನ ಸಂಪೂರ್ಣ ಸುತ್ತಳತೆ, ದೇಹದ ಸುತ್ತಲೂ ಸಂಪೂರ್ಣವಾಗಿ ಸುತ್ತುವಂತೆ, ಇದರಿಂದ ಮುಂಭಾಗದ ಪೂರ್ಣ ಎದೆ ಮತ್ತು ಅದೇ ಮಟ್ಟದ ಬೆನ್ನು ಎರಡೂ ಸೇರುತ್ತವೆ. ಇದು ಅತಿ ತುಂಬಿದ ಬಿಂದುವಿನಲ್ಲಿ ಒಟ್ಟು ಎದೆ ಸುತ್ತಳತೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.",,
14,"Lower Bust
निचला वक्ष (अंडरबस्ट)
ಕೆಳಗಿನ ಎದೆ (ಲೋವರ್ ಬಸ್ಟ್)","EN: The circumference of the ribcage directly under the bust (where a bra band sits). It represents the underbust girth, used to fit the blouse snugly below the bust.","हिन्दी · निचला वक्ष (अंडरबस्ट): वक्ष के ठीक नीचे पसली-पिंजर का घेरा (जहाँ ब्रा की बैंड बैठती है)। यह अंडरबस्ट घेरे को दर्शाता है, जिसका उपयोग वक्ष के नीचे ब्लाउज को कसकर फिट करने में होता है।","ಕನ್ನಡ · ಕೆಳಗಿನ ಎದೆ (ಲೋವರ್ ಬಸ್ಟ್): ಎದೆಯ ಸರಿಯಾಗಿ ಕೆಳಗಿನ ಪಕ್ಕೆಲುಬಿನ ಸುತ್ತಳತೆ (ಬ್ರಾ ಬ್ಯಾಂಡ್ ಕುಳಿತುಕೊಳ್ಳುವ ಜಾಗ). ಇದು ಅಂಡರ್‌ಬಸ್ಟ್ ಸುತ್ತಳತೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ, ಎದೆಯ ಕೆಳಗೆ ರವಿಕೆಯನ್ನು ಬಿಗಿಯಾಗಿ ಹೊಂದಿಸಲು ಬಳಸಲಾಗುತ್ತದೆ.",,
15,"Waist
कमर
ಸೊಂಟ","EN: The circumference of the natural waist — the narrowest part of the mid-torso, roughly at or just above the navel. It represents the waist girth at the bottom of the blouse.","हिन्दी · कमर: प्राकृतिक कमर का घेरा — धड़ के बीच का सबसे पतला हिस्सा, लगभग नाभि पर या उससे थोड़ा ऊपर। यह ब्लाउज के निचले सिरे पर कमर के घेरे को दर्शाता है।","ಕನ್ನಡ · ಸೊಂಟ: ಸಹಜ ಸೊಂಟದ ಸುತ್ತಳತೆ — ಮಧ್ಯ ಮುಂಡದ ಅತಿ ತೆಳುವಾದ ಭಾಗ, ಸುಮಾರು ಹೊಕ್ಕುಳಿನ ಬಳಿ ಅಥವಾ ಅದರ ಸ್ವಲ್ಪ ಮೇಲೆ. ಇದು ರವಿಕೆಯ ಕೆಳಭಾಗದಲ್ಲಿ ಸೊಂಟದ ಸುತ್ತಳತೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.",,
16,"Bicep Round
बाजू घेरा (बाइसेप)
ತೋಳಿನ ಸುತ್ತಳತೆ (ಬೈಸೆಪ್)","EN: The actual circumference of the upper arm at its thickest part (the bicep), measured on the relaxed arm. It represents the true size of the arm at the bicep.","हिन्दी · बाजू घेरा (बाइसेप): ऊपरी बाँह के सबसे मोटे हिस्से (बाइसेप) का वास्तविक घेरा, ढीली/आराम की स्थिति वाली बाँह पर मापा गया। यह बाइसेप पर बाँह के असली आकार को दर्शाता है।","ಕನ್ನಡ · ತೋಳಿನ ಸುತ್ತಳತೆ (ಬೈಸೆಪ್): ಸಡಿಲವಾದ ತೋಳಿನ ಮೇಲೆ ಅಳೆದ, ಮೇಲಿನ ತೋಳಿನ ಅತಿ ದಪ್ಪ ಭಾಗದ (ಬೈಸೆಪ್) ನಿಜವಾದ ಸುತ್ತಳತೆ. ಇದು ಬೈಸೆಪ್‌ನಲ್ಲಿ ತೋಳಿನ ನಿಜವಾದ ಗಾತ್ರವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",,
17,"Sleeve Round Bicep
आस्तीन घेरा (बाइसेप पर)
ತೋಳಿನ ಸುತ್ತಳತೆ (ಬೈಸೆಪ್ ಮಟ್ಟದಲ್ಲಿ)",EN: The finished circumference of the sleeve opening at the bicep level — the arm size plus a comfortable ease allowance. It represents how wide the sleeve is where it ends at the bicep.,हिन्दी · आस्तीन घेरा (बाइसेप पर): बाइसेप स्तर पर आस्तीन के खुले सिरे का तैयार घेरा — बाँह के आकार में आरामदायक ढील जोड़कर। यह दर्शाता है कि आस्तीन बाइसेप पर जहाँ समाप्त होती है वहाँ कितनी चौड़ी है।,ಕನ್ನಡ · ತೋಳಿನ ಸುತ್ತಳತೆ (ಬೈಸೆಪ್ ಮಟ್ಟದಲ್ಲಿ): ಬೈಸೆಪ್ ಮಟ್ಟದಲ್ಲಿ ತೋಳಿನ ತೆರೆಯುವಿಕೆಯ ಸಿದ್ಧ ಸುತ್ತಳತೆ — ತೋಳಿನ ಗಾತ್ರ ಜೊತೆಗೆ ಆರಾಮದಾಯಕ ಸಡಿಲಿಕೆ. ಇದು ತೋಳು ಬೈಸೆಪ್‌ನಲ್ಲಿ ಮುಗಿಯುವಲ್ಲಿ ಎಷ್ಟು ಅಗಲವಿದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.,,
18,"Sleeve Round Forearm
आस्तीन घेरा (फोरआर्म पर)
ತೋಳಿನ ಸುತ್ತಳತೆ (ಮುಂಗೈ ಮಟ್ಟದಲ್ಲಿ)",EN: The finished circumference of the sleeve opening at the forearm level — the forearm size plus a comfortable ease allowance. It represents how wide the sleeve is where it ends lower down at the forearm (only applicable for forearm-length sleeves).,हिन्दी · आस्तीन घेरा (फोरआर्म पर): फोरआर्म स्तर पर आस्तीन के खुले सिरे का तैयार घेरा — अग्रबाहु के आकार में आरामदायक ढील जोड़कर। यह दर्शाता है कि आस्तीन नीचे फोरआर्म पर जहाँ समाप्त होती है वहाँ कितनी चौड़ी है (केवल फोरआर्म-लंबाई की आस्तीन के लिए लागू)।,ಕನ್ನಡ · ತೋಳಿನ ಸುತ್ತಳತೆ (ಮುಂಗೈ ಮಟ್ಟದಲ್ಲಿ): ಮುಂಗೈ ಮಟ್ಟದಲ್ಲಿ ತೋಳಿನ ತೆರೆಯುವಿಕೆಯ ಸಿದ್ಧ ಸುತ್ತಳತೆ — ಮುಂಗೈ ಗಾತ್ರ ಜೊತೆಗೆ ಆರಾಮದಾಯಕ ಸಡಿಲಿಕೆ. ಇದು ತೋಳು ಕೆಳಗೆ ಮುಂಗೈಯಲ್ಲಿ ಮುಗಿಯುವಲ್ಲಿ ಎಷ್ಟು ಅಗಲವಿದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ (ಕೇವಲ ಮುಂಗೈ-ಉದ್ದದ ತೋಳುಗಳಿಗೆ ಅನ್ವಯಿಸುತ್ತದೆ).,,
19,"Sleeve Length
आस्तीन की लंबाई
ತೋಳಿನ ಉದ್ದ","EN: The length of the sleeve — the distance from the shoulder tip down the outer arm to the point where the sleeve ends, which is at the bicep level (the same level as Sleeve Round Bicep, No. 17). It represents how long the sleeve runs down the arm.","हिन्दी · आस्तीन की लंबाई: आस्तीन की लंबाई — कंधे के सिरे से बाहरी बाँह के नीचे उस बिंदु तक की दूरी जहाँ आस्तीन समाप्त होती है, जो बाइसेप स्तर पर है (वही स्तर जो बाइसेप आस्तीन घेरा, क्र.सं. 17 का है)। यह दर्शाता है कि आस्तीन बाँह पर कितनी नीचे तक जाती है।","ಕನ್ನಡ · ತೋಳಿನ ಉದ್ದ: ತೋಳಿನ ಉದ್ದ — ಭುಜದ ತುದಿಯಿಂದ ಹೊರ ತೋಳಿನ ಕೆಳಗೆ ತೋಳು ಮುಗಿಯುವ ಬಿಂದುವಿನವರೆಗಿನ ಅಂತರ, ಇದು ಬೈಸೆಪ್ ಮಟ್ಟದಲ್ಲಿದೆ (ಕ್ರ.ಸಂ. 17 ರ ಅದೇ ಮಟ್ಟ). ಇದು ತೋಳು ತೋಳಿನ ಮೇಲೆ ಎಷ್ಟು ಕೆಳಗೆ ಹೋಗುತ್ತದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.",,
20,"Back Neck Depth
पीठ के गले की गहराई
ಬೆನ್ನಿನ ಕುತ್ತಿಗೆಯ ಆಳ",EN: The vertical distance from the nape of the neck (the base of the neck at the back) straight down the center back to the upper-most edge at the deepest point of the blouse at the back. Similar to front neck depth.,हिन्दी · पीठ के गले की गहराई: पीठ के गले की गहराई — गर्दन के पिछले भाग (नैप) से बीच में सीधे नीचे पीठ पर ब्लाउज के सबसे गहरे बिंदु के ऊपरी किनारे तक की ऊर्ध्वाधर दूरी। सामने के गले की गहराई के समान।,ಕನ್ನಡ · ಬೆನ್ನಿನ ಕುತ್ತಿಗೆಯ ಆಳ: ಬೆನ್ನಿನ ಕುತ್ತಿಗೆಯ ಆಳ — ಕುತ್ತಿಗೆಯ ಹಿಂಭಾಗದಿಂದ (ನೇಪ್) ಮಧ್ಯ ಬೆನ್ನಿನಲ್ಲಿ ನೇರವಾಗಿ ಕೆಳಗೆ ಬೆನ್ನಿನ ಮೇಲೆ ರವಿಕೆಯ ಅತಿ ಆಳವಾದ ಬಿಂದುವಿನ ಮೇಲಿನ ಅಂಚಿನವರೆಗಿನ ಲಂಬ ಅಂತರ. ಮುಂಭಾಗದ ಕುತ್ತಿಗೆಯ ಆಳಕ್ಕೆ ಸಮಾನ.,,
